,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"2008-
Sep 2021"
All regions,Todas las regiones,148,224,233,271,312,271,294,276,325,358,348,322,376,282,4040
,,,,,,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"2008-
Sep 2021"
South Africa,Sudáfrica,1,0,0,0,4,0,0,1,0,2,2,0,1,0,11
Tanzania,Tanzania,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Uganda,Uganda,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Algeria,Argelia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Liberia,Liberia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Mauritius,Mauricio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Malawi,Malaui,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,2,2,0,1,4,1,1,1,1,2,2,0,1,1,19
,,,,,,,,,,,,,,,,
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"2008-
Sep 2021"
India,India,1,9,5,5,8,6,14,7,7,4,6,11,9,10,102
Pakistan,Pakistán,3,1,5,6,6,2,5,6,5,7,6,11,11,7,81
Philippines,Filipinas,5,1,10,9,3,1,6,5,5,7,1,4,5,15,77
Thailand,Tailandia,0,1,3,2,0,6,2,0,2,4,0,0,0,0,20
Malaysia,Malasia,1,4,0,1,1,2,0,0,1,2,3,1,0,0,16
China,China,1,3,4,0,1,2,3,1,0,0,0,0,0,0,15
Indonesia,Indonesia,3,1,1,2,0,1,0,1,0,0,0,0,1,0,10
Nepal,Nepal,0,0,0,0,1,0,0,0,1,0,1,1,1,0,5
Myanmar,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Iraq,Irak,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bangladesh,Bangladesh,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3
Saudi Arabia,Arabia Saudita,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Afghanistan,Afganistán,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Cambodia,Camboya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Iran,Irán,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Japan,Japón,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Kazakhstan,Kazajistán,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Lao,Laos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Republic of Korea,República de Corea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Singapore,Singapur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,Tayikistán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Uzbekistan,Uzbekistán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,18,20,31,26,21,20,31,21,22,26,18,30,27,38,349
,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"2008-
Sep 2021"
Brazil,Brasil,57,68,99,103,126,104,132,113,136,175,168,115,157,92,1645
Mexico,México,4,9,14,33,49,45,40,35,61,67,61,65,64,46,593
Colombia,Colombia,13,13,15,18,10,8,8,20,10,17,16,16,19,22,205
Venezuela,Venezuela,4,23,6,17,8,21,8,11,13,5,6,3,1,3,129
Honduras,Honduras,4,15,8,10,15,14,11,6,6,4,1,8,6,4,112
Argentina,Argentina,2,3,3,10,1,4,11,6,12,6,10,13,12,11,104
Guatemala,Guatemala,1,12,14,7,5,0,3,0,1,1,4,4,6,2,60
El Salvador,El Salvador,1,5,0,1,0,5,3,7,8,7,6,8,4,3,58
"Dominican
Republic","República
Dominicana",0,4,4,4,18,1,3,1,3,3,3,2,1,0,47
Ecuador,Ecuador,1,2,5,1,2,1,9,7,1,0,1,8,6,3,47
Peru,Perú,1,4,2,2,2,3,6,2,2,0,4,1,7,2,38
Bolivia,Bolivia,0,1,5,1,3,3,0,0,3,1,2,0,2,1,22
Chile,Chile,1,1,0,1,1,1,1,2,1,2,1,5,1,2,20
Puerto Rico,Puerto Rico,0,2,5,1,1,0,0,0,0,1,0,0,7,1,18
